No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
126,1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,AMF,AMF,2018-06-11,22.0,0.0,-0.56,13.86,12.15,4,14.0,1.0,0,0
11,1,C,Quercus alba,0.106,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,15.82,31.07,5.19,20.52,19.29,33,115.5,0.0,0,1
12,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,24.45,28.19,3.36,24.74,15.01,18,63.0,1.0,0,0
2823,7,D,Acer saccharum,0.08,Med,2016,Prunus serotina,0,Non-Sterile,Heterospecific,AMF,AMF,2018-06-11,22.23,0.0,-0.71,14.29,12.36,4,14.0,1.0,0,0
5679,14,A,Acer saccharum,0.06,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,2018-06-11,21.15,0.0,-0.58,10.85,11.2,4,14.0,1.0,0,0
18,1,C,Prunus serotina,0.106,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,2018-06-05,35.29,0.0,0.3,10.8,13.79,7,24.5,1.0,0,0
25,1,A,Quercus alba,0.108,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,24.0,20.0,5.11,18.82,22.51,7,24.5,0.0,1,0
40,1,A,Quercus rubra,0.108,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,2018-06-07,4.0,0.0,3.43,25.22,14.81,7,24.5,0.0,1,0
26,1,A,Quercus rubra,0.108,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,28.74,36.18,3.83,26.65,14.65,33,115.5,0.0,0,1
41,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.16,0.0,-0.05,13.3,12.16,7,24.5,1.0,0,0
30,1,C,Quercus rubra,0.106,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,24.45,28.19,3.36,24.74,15.01,33,115.5,0.0,0,1
33,1,C,Quercus alba,0.106,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,19.68,21.58,5.1,18.16,22.56,21,73.5,1.0,0,0
34,1,C,Quercus alba,0.106,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,11.14,32.75,5.05,21.93,17.75,21,73.5,1.0,0,0
37,1,A,Quercus alba,0.108,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,11.45,21.84,4.79,17.83,23.72,17,59.5,1.0,0,0
42,1,A,Quercus alba,0.108,Med,2016,Sterile,1320,Sterile,Sterilized,EMF,Sterile,2018-05-10,24.0,9.09,3.68,19.77,19.81,7,24.5,0.0,1,0
39,1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,17.54,32.82,5.29,20.84,18.65,33,115.5,0.0,0,1
50,1,C,Quercus rubra,0.106,Med,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,2018-06-07,3.0,0.0,3.5,20.44,18.99,7,24.5,0.0,1,0
91,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,10.0,0.0,-0.1,12.61,11.75,7,24.5,0.0,1,0
98,1,A,Acer saccharum,0.108,Med,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,2018-06-04,22.98,0.0,0.44,13.69,12.31,7,24.5,1.0,0,0
130,1,A,Acer saccharum,0.108,Med,2017,Sterile,561,Sterile,Sterilized,AMF,Sterile,2018-06-07,8.55,0.0,0.08,10.61,11.57,7,24.5,1.0,0,0
134,1,A,Acer saccharum,0.108,Med,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,12.86,0.0,0.04,13.95,12.5,7,24.5,1.0,0,0
55,1,A,Quercus rubra,0.108,Med,2017,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,20.45,26.44,3.89,24.19,16.19,33,115.5,0.0,0,1
142,1,C,Quercus alba,0.106,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,9.0,26.92,4.77,17.0,25.17,7,24.5,0.0,1,0
59,1,A,Quercus alba,0.108,Med,2016,Quercus alba,1320,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,10.68,26.72,5.04,21.43,18.21,21,73.5,1.0,0,0
61,1,A,Quercus alba,0.108,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,18.04,25.57,5.09,18.75,23.07,21,73.5,1.0,0,0
148,1,A,Quercus alba,0.108,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,14.0,38.46,5.47,21.72,18.17,7,24.5,0.0,1,0
63,1,A,Acer saccharum,0.108,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.16,0.0,-0.05,13.3,12.16,17,59.5,1.0,0,0
151,1,A,Quercus alba,0.108,Med,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,5.0,16.22,3.77,25.48,12.91,7,24.5,0.0,1,0
154,1,D,Quercus rubra,0.107,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,19.0,57.14,3.69,24.77,14.86,7,24.5,0.0,1,0
74,1,A,Quercus alba,0.108,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,20.19,26.04,5.07,18.97,22.48,33,115.5,0.0,0,1
83,1,C,Quercus rubra,0.106,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,19.32,21.6,3.81,20.97,18.09,33,115.5,0.0,0,1
85,1,C,Quercus alba,0.106,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,12.15,21.66,4.7,17.55,24.42,33,115.5,0.0,0,1
89,1,C,Quercus alba,0.106,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,12.15,21.66,4.7,17.55,24.42,33,115.5,0.0,0,1
164,1,A,Quercus alba,0.108,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,18.0,0.0,3.56,25.81,10.7,7,24.5,0.0,1,0
166,1,A,Acer saccharum,0.108,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,2018-06-04,16.6,0.0,-0.05,13.1,12.05,7,24.5,1.0,0,0
93,1,A,Acer saccharum,0.108,Med,2016,Sterile,1323,Sterile,Sterilized,AMF,Sterile,2018-06-07,8.55,0.0,0.08,10.61,11.57,19,66.5,1.0,0,0
169,1,A,Quercus alba,0.108,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,10.0,6.67,4.88,18.33,22.76,7,24.5,0.0,1,0
178,1,C,Quercus rubra,0.106,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,24.0,57.14,3.71,26.64,14.23,7,24.5,0.0,1,0
183,1,A,Acer saccharum,0.108,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,2018-06-04,16.6,0.0,-0.05,13.1,12.05,7,24.5,1.0,0,0
200,1,A,Prunus serotina,0.108,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,2018-06-08,37.91,0.0,0.77,7.82,11.52,7,24.5,1.0,0,0
212,1,C,Quercus rubra,0.106,Med,2016,Quercus rubra,1688,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,25.0,8.0,4.13,25.28,15.87,7,24.5,0.0,1,0
108,1,C,Quercus alba,0.106,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,14.77,27.2,4.16,18.81,24.33,33,115.5,0.0,0,1
217,1,B,Quercus alba,0.1,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,9.0,24.39,3.91,21.62,17.61,7,24.5,0.0,1,0
225,1,E,Quercus alba,0.098,Med,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,2018-05-10,2.0,10.81,3.72,18.39,23.94,7,24.5,0.0,1,0
237,1,B,Quercus alba,0.1,Med,2016,Quercus alba,415,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,9.0,31.03,5.21,23.12,17.33,7,24.5,0.0,1,0
244,1,D,Acer saccharum,0.107,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.55,0.0,-0.04,13.55,12.15,7,24.5,1.0,0,0
273,1,B,Acer saccharum,0.1,Med,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.8,0.0,-0.09,13.74,12.22,7,24.5,1.0,0,0
278,1,B,Quercus alba,0.1,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,11.0,40.0,5.24,20.56,19.48,7,24.5,0.0,1,0
124,1,C,Quercus alba,0.106,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,15.82,31.07,5.19,20.52,19.29,20,70.0,1.0,0,0
286,1,D,Quercus rubra,0.107,Med,2016,Quercus alba,1478,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,37.0,2.0,3.6,19.67,19.93,7,24.5,0.0,1,0
127,1,A,Quercus rubra,0.108,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,23.71,25.98,3.8,23.21,16.91,18,63.0,1.0,0,0
298,1,D,Quercus alba,0.107,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,18.0,0.0,5.32,21.53,17.89,7,24.5,0.0,1,0
135,1,A,Quercus rubra,0.108,Med,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,2018-06-07,9.71,6.71,3.55,24.69,15.17,33,115.5,0.0,0,1
312,1,B,Quercus rubra,0.1,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,14.0,2.94,3.74,21.23,17.66,7,24.5,0.0,1,0
318,1,D,Quercus rubra,0.107,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,4.0,1.0,3.48,19.52,19.42,7,24.5,0.0,1,0
319,1,D,Quercus alba,0.107,Med,2017,Quercus alba,1297,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,5.0,0.0,4.63,25.57,14.27,7,24.5,0.0,1,0
327,1,B,Prunus serotina,0.1,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,AMF,AMF,2018-06-08,39.43,0.0,0.72,10.15,13.36,7,24.5,1.0,0,0
332,1,B,Prunus serotina,0.1,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,2018-06-05,19.17,0.0,0.34,9.62,12.04,7,24.5,1.0,0,0
337,1,D,Quercus alba,0.107,Med,2017,Quercus alba,1715,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,7.0,7.32,5.29,23.0,16.99,7,24.5,0.0,1,0
348,1,B,Quercus alba,0.1,Med,2016,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,7.0,34.21,4.06,22.12,17.81,7,24.5,0.0,1,0
351,1,B,Quercus rubra,0.1,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,33.0,11.0,3.65,22.8,16.52,7,24.5,0.0,1,0
352,1,D,Quercus rubra,0.107,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,10.0,53.33,3.11,28.17,13.23,7,24.5,0.0,1,0
369,1,B,Quercus rubra,0.1,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,26.0,47.06,3.68,26.52,14.34,7,24.5,0.0,1,0
394,1,D,Quercus alba,0.107,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,4.0,28.57,3.99,22.14,17.94,7,24.5,0.0,1,0
405,1,B,Quercus rubra,0.1,Med,2017,Sterile,984,Sterile,Sterilized,EMF,Sterile,2018-06-07,4.0,0.0,3.39,24.93,14.81,7,24.5,0.0,1,0
416,1,B,Quercus rubra,0.1,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,9.0,15.0,2.79,26.79,10.15,7,24.5,0.0,1,0
424,1,D,Prunus serotina,0.107,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,2018-06-06,30.83,0.0,0.67,10.36,13.68,7,24.5,1.0,0,0
438,2,A,Quercus alba,0.083,Med,2016,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,9.0,45.45,4.97,20.8,18.72,7,24.5,0.0,1,0
175,1,C,Quercus alba,0.106,Med,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,2018-06-07,10.3,7.09,3.47,19.59,19.48,33,115.5,0.0,0,1
441,2,A,Acer saccharum,0.083,Med,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,19.63,0.0,0.33,13.73,12.2,7,24.5,1.0,0,0
445,2,C,Prunus serotina,0.097,Med,2017,Sterile,0,Sterile,Sterilized,AMF,Sterile,2018-06-05,9.0,0.0,0.07,7.91,11.99,7,24.5,0.0,1,0
186,1,A,Quercus rubra,0.108,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,17.7,30.28,3.7,19.54,19.67,33,115.5,0.0,0,1
477,2,A,Prunus serotina,0.083,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,24.39,0.0,0.62,9.43,11.96,7,24.5,1.0,0,0
491,2,A,Quercus alba,0.083,Med,2016,Sterile,1715,Sterile,Sterilized,EMF,Sterile,2018-06-07,14.0,5.26,3.45,23.58,15.62,7,24.5,0.0,1,0
499,2,C,Prunus serotina,0.097,Med,2017,Sterile,689,Sterile,Sterilized,AMF,Sterile,2018-06-05,8.3,0.0,0.06,7.76,11.84,7,24.5,1.0,0,0
196,1,C,Quercus rubra,0.106,Med,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,2018-06-07,9.66,6.29,3.57,24.36,15.72,17,59.5,1.0,0,0
510,2,A,Acer saccharum,0.083,Med,2017,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,25.0,0.0,0.2,12.86,11.72,7,24.5,0.0,1,0
557,2,C,Acer saccharum,0.097,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,15.31,0.0,-0.06,13.74,12.22,7,24.5,1.0,0,0
601,2,A,Prunus serotina,0.083,Med,2017,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,24.39,0.0,0.62,9.43,11.96,7,24.5,1.0,0,0
606,2,C,Prunus serotina,0.097,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,2018-06-07,33.29,0.0,0.57,10.94,13.76,7,24.5,1.0,0,0
616,2,A,Acer saccharum,0.083,Med,2016,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,13.0,0.0,-0.26,10.53,10.83,7,24.5,0.0,1,0
617,2,A,Prunus serotina,0.083,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,AMF,AMF,2018-06-07,14.0,0.0,0.58,2.23,8.68,7,24.5,0.0,1,0
631,2,A,Acer saccharum,0.083,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,13.0,0.0,-0.34,15.22,12.47,7,24.5,0.0,1,0
633,2,A,Acer saccharum,0.083,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,12.0,0.0,0.02,15.52,12.09,7,24.5,0.0,1,0
646,2,C,Quercus alba,0.097,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,26.0,36.84,4.97,19.2,21.66,7,24.5,0.0,1,0
243,1,E,Quercus alba,0.098,Med,2017,Quercus alba,1205,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,13.63,35.71,5.01,21.98,17.53,33,115.5,0.0,0,1
650,2,B,Quercus alba,0.082,Med,2017,Sterile,415,Sterile,Sterilized,EMF,Sterile,2018-06-07,0.0,1.37,2.8,17.67,18.51,7,24.5,0.0,1,0
664,2,D,Acer saccharum,0.1,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,13.21,0.0,-0.04,13.89,12.52,7,24.5,1.0,0,0
683,2,D,Quercus alba,0.1,Med,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,23.0,0.0,4.15,19.05,23.24,7,24.5,0.0,1,0
701,2,D,Acer saccharum,0.1,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.57,0.0,0.22,13.76,12.17,7,24.5,1.0,0,0
253,1,B,Quercus alba,0.1,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,11.18,41.63,5.24,21.72,17.86,33,115.5,0.0,0,1
703,2,B,Quercus alba,0.082,Med,2016,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,17.0,12.0,4.8,23.26,16.43,7,24.5,0.0,1,0
266,1,D,Quercus rubra,0.107,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,20.34,28.16,3.54,26.47,14.47,33,115.5,0.0,0,1
705,2,B,Acer saccharum,0.082,Med,2017,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,13.0,0.0,-0.09,13.88,12.32,7,24.5,0.0,1,0
721,2,B,Quercus rubra,0.082,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,2018-06-07,0.0,3.9,3.07,24.59,13.11,7,24.5,0.0,1,0
874,3,C,Quercus rubra,0.103,Med,2017,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,30.44,39.07,3.8,26.44,14.81,7,24.5,1.0,0,0
884,3,A,Quercus alba,0.08,Med,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,2018-06-07,0.0,0.0,3.07,20.78,17.11,7,24.5,0.0,1,0
288,1,D,Quercus alba,0.107,Med,2017,Sterile,415,Sterile,Sterilized,EMF,Sterile,2018-05-10,11.59,11.88,3.73,21.08,17.84,27,94.5,1.0,0,0
890,3,A,Quercus alba,0.08,Med,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,1.0,0.0,5.27,24.67,15.59,7,24.5,0.0,1,0
293,1,B,Quercus alba,0.1,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,23.5,29.23,5.01,18.78,22.58,33,115.5,0.0,0,1
902,3,A,Quercus alba,0.08,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,17.0,13.89,4.91,19.63,20.24,7,24.5,0.0,1,0
913,3,C,Acer saccharum,0.103,Med,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,21.88,0.0,0.3,10.18,10.38,7,24.5,0.0,1,0
300,1,D,Quercus alba,0.107,Med,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,2018-05-10,11.59,11.88,3.73,21.08,17.84,33,115.5,0.0,0,1
304,1,D,Quercus rubra,0.107,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,23.34,27.55,3.42,23.82,15.66,18,63.0,1.0,0,0
307,1,B,Quercus rubra,0.1,Med,2017,Quercus rubra,1595,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,20.4,43.74,3.66,26.29,14.71,33,115.5,0.0,0,1
921,3,A,Quercus alba,0.08,Med,2016,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,15.0,5.41,3.91,18.41,21.14,7,24.5,0.0,1,0
314,1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,25.8,27.74,3.38,24.3,15.31,18,63.0,1.0,0,0
943,3,A,Quercus alba,0.08,Med,2016,Sterile,415,Sterile,Sterilized,EMF,Sterile,2018-06-07,0.0,0.0,3.07,19.85,18.05,7,24.5,0.0,1,0
946,3,C,Acer saccharum,0.103,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,14.82,0.0,-0.1,13.59,12.2,7,24.5,1.0,0,0
967,3,C,Acer saccharum,0.103,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,2018-06-08,22.16,0.0,-0.64,13.88,12.13,7,24.5,1.0,0,0
969,3,C,Quercus rubra,0.103,Med,2017,Quercus alba,1478,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,36.0,22.22,3.79,25.0,15.42,7,24.5,0.0,1,0
973,3,A,Quercus rubra,0.08,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,37.0,14.29,3.43,26.81,14.09,7,24.5,0.0,1,0
983,3,C,Quercus alba,0.103,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,11.0,39.47,5.36,24.01,16.74,7,24.5,0.0,1,0
990,3,C,Prunus serotina,0.103,Med,2016,Sterile,0,Sterile,Sterilized,AMF,Sterile,2018-06-05,9.0,0.0,0.03,7.75,11.76,7,24.5,0.0,1,0
994,3,A,Quercus rubra,0.08,Med,2016,Sterile,1454,Sterile,Sterilized,EMF,Sterile,2018-06-07,0.0,0.0,3.38,22.52,16.39,7,24.5,0.0,1,0
343,1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,25.8,27.74,3.38,24.3,15.31,18,63.0,1.0,0,0
1008,3,C,Quercus alba,0.103,Med,2017,Quercus alba,1205,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,15.0,36.17,4.93,25.25,15.55,7,24.5,0.0,1,0
1009,3,A,Quercus rubra,0.08,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,12.0,26.42,3.07,26.99,13.0,7,24.5,0.0,1,0
353,1,D,Quercus rubra,0.107,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,27.66,37.81,3.8,26.54,14.73,33,115.5,0.0,0,1
1016,3,A,Prunus serotina,0.08,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,AMF,AMF,2018-06-07,31.81,0.0,0.71,9.35,11.66,7,24.5,1.0,0,0
1028,3,A,Acer saccharum,0.08,Med,2016,Sterile,1323,Sterile,Sterilized,AMF,Sterile,2018-06-11,16.0,0.0,-0.03,12.14,12.38,7,24.5,0.0,1,0
363,1,B,Quercus rubra,0.1,Med,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,25.8,27.74,3.38,24.3,15.31,18,63.0,1.0,0,0
1029,3,A,Acer saccharum,0.08,Med,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,2018-06-11,2.0,0.0,0.11,12.46,13.41,7,24.5,0.0,1,0
1035,3,A,Quercus rubra,0.08,Med,2016,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,34.0,9.26,2.77,26.63,10.86,7,24.5,0.0,1,0
1046,3,A,Acer saccharum,0.08,Med,2016,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,14.69,0.0,0.09,13.72,12.11,7,24.5,1.0,0,0
1048,3,A,Acer saccharum,0.08,Med,2017,Sterile,961,Sterile,Sterilized,AMF,Sterile,2018-06-07,2.0,0.0,-0.03,10.32,12.06,7,24.5,0.0,1,0
1057,3,C,Quercus alba,0.103,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,33.0,28.57,4.82,25.1,15.28,7,24.5,0.0,1,0
1058,3,C,Quercus alba,0.103,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,10.0,5.88,4.61,25.57,15.17,7,24.5,0.0,1,0
1065,3,A,Prunus serotina,0.08,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,2018-06-05,32.34,0.0,0.37,8.48,11.26,7,24.5,1.0,0,0
382,1,B,Quercus alba,0.1,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,15.35,29.41,4.15,18.88,23.37,33,115.5,0.0,0,1
383,1,B,Quercus rubra,0.1,Med,2016,Quercus rubra,921,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,20.4,43.74,3.66,26.29,14.71,33,115.5,0.0,0,1
1070,3,E,Acer saccharum,0.095,Med,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,2018-06-04,26.58,0.0,0.04,15.8,12.61,7,24.5,0.0,1,0
1082,3,B,Acer saccharum,0.082,Med,2017,Sterile,1330,Sterile,Sterilized,AMF,Sterile,2018-06-07,1.0,0.0,0.36,12.5,13.9,7,24.5,0.0,1,0
1084,3,B,Quercus rubra,0.082,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,14.0,11.9,2.53,25.88,10.96,7,24.5,0.0,1,0
1091,3,E,Acer saccharum,0.095,Med,2016,Sterile,561,Sterile,Sterilized,AMF,Sterile,2018-06-07,4.0,0.0,0.09,11.91,12.4,7,24.5,0.0,1,0
1098,3,D,Quercus alba,0.087,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,20.0,0.0,5.16,23.41,16.57,7,24.5,0.0,1,0
395,1,D,Acer saccharum,0.107,Med,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,2018-06-07,7.86,0.0,0.06,12.75,12.25,19,66.5,1.0,0,0
1106,3,E,Quercus alba,0.095,Med,2017,Quercus alba,415,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,8.0,2.7,3.4,24.4,11.83,7,24.5,0.0,1,0
1126,3,D,Quercus alba,0.087,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,14.0,29.17,5.04,21.35,18.15,7,24.5,0.0,1,0
1137,3,B,Prunus serotina,0.082,Med,2017,Sterile,689,Sterile,Sterilized,AMF,Sterile,2018-06-05,6.98,0.0,0.29,7.23,11.54,7,24.5,0.0,1,0
1161,3,B,Quercus rubra,0.082,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,2018-06-07,1.0,0.0,3.38,22.83,16.41,7,24.5,0.0,1,0
409,1,D,Quercus rubra,0.107,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,20.34,28.16,3.54,26.47,14.47,21,73.5,1.0,0,0
410,1,D,Quercus rubra,0.107,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,14.3,29.68,3.69,19.45,19.79,18,63.0,1.0,0,0
